T+ Audio Arrived (s)	T+ Sent Worker (s)	T+ Worker Done (s)	T+ Results UI (s)	Audio Len (s)	Process Time (s)	Type	Text / Event
0.07	1.07	4.54	4.54	1.00	3.47	PARTIAL	Good morning.
0.65	4.65	8.02	8.02	4.00	3.38	PARTIAL	Good morning! How are you feeling today? I'm not feeling...
1.14	8.14	11.64	11.64	7.00	3.50	PARTIAL	Good morning. How are you feeling today? I'm not feeling well, doctor. I've had a headache and fe-
1.69	11.69	15.36	15.36	10.00	3.67	FINAL (Sil-Gap)	 Good morning! How are you feeling today? I'm not feeling well, doctor. I've had a headache and fever since yesterday. I see.
11.85	15.46	18.77	18.77	3.61	3.31	PARTIAL	Do you also have a sore throat or cough? Yeah.
12.34	18.85	22.47	22.47	6.51	3.62	PARTIAL	Do you also have a sore throat or cough? Yes. I've been coughing a little and my throat
12.89	22.50	26.21	26.21	9.61	3.70	PARTIAL	Do you also have a sore throat or cough? Yes. I've been coughing a little, and my throat feels dry. All right.
13.49	26.30	30.14	30.14	12.81	3.84	FINAL (Sil-Gap)	 Do you also have a sore throat or cough? Yes. I've been coughing a little, and my throat feels dry. All right. Let me check your temperature.
26.27	30.21	33.35	33.35	3.94	3.14	FINAL (Sil-Gap)	 It's slightly high.
30.03	33.39	36.70	36.70	3.36	3.31	PARTIAL	Have you taken any medicine yet? Just some tiling.
30.54	36.80	40.28	40.28	6.26	3.48	FINAL (Sil-Gap)	 Have you taken any medicine yet? Just some Tylenol, but it didn't help much.
36.81	40.33	47.09	47.09	3.52	6.75	PARTIAL	Okay. It looks like a-
37.78	47.20	50.67	50.67	9.42	3.47	FINAL (Sil-Gap)	 Okay. It looks like a mild infection. I'll prescribe you some antibiotics and syrup for the cough.
47.12	50.73	53.93	53.93	3.61	3.20	FINAL (Sil-Gap)	 How long will it take to feel better?
50.24	53.97	57.19	57.19	3.73	3.22	PARTIAL	Usually within three to four days, if you rest and-
50.71	57.24	60.57	60.57	6.53	3.33	FINAL (Sil-Gap)	 Usually within three to four days, if you rest and take the medicine on time.
56.39	60.58	63.86	63.86	4.19	3.28	FINAL (Sil-Gap)	 All right, I'll do that. Thank you, doctor.
60.22	63.95	67.25	67.25	3.73	3.30	PARTIAL	Take care, drink plenty of water and...
60.70	67.33	70.90	70.90	6.63	3.58	PARTIAL	Take care, drink plenty of water, and get enough sleep. Come back if the fever doesn't go down.
61.23	70.93	74.59	74.59	9.70	3.67	FINAL (Tail-Pass)	 Take care, drink plenty of water, and get enough sleep. Come back if the fever doesn't go down. I will. Thanks again.
14.22	74.59	74.59	74.59	60.37	0.00	SESSION END	Emitted Words: 136
