Excuse me, doctor.
Yes, common. What are you suffering from?
Doctor, I am suffering from fever and headache.
Okay, how long do you have this issue?
Doctor, I have this for past two weeks.
Okay, did you take any medicines for that? No.
doctor. I have not taken anything. Okay, I'll prescribe you some of the medicines. Take that for two days alone.
Okay, doctor. When should I come for next consultation? Probably next week.
Okay, take care of your health. Keep yourself hydrated. Bye.
Thank you, doctor. Thank you.
Thank you, doctor. Thank you.
Thank you
